# Atmospheric Carbon Dioxide Record from Mauna Loa (1958-2008)
# Keeling, R. F., Piper, S. C., Bollenbacher, A. F., and Walker, J. S. Atmospheric Carbon Dioxide Record from Mauna Loa (1958-2008). United States: N. p., 2009. Web. doi:10.3334/CDIAC/atg.035.
# Year CO2_PPMV
1.958166666666666742e+03 3.156999999999999886e+02
1.958250000000000000e+03 3.174499999999999886e+02
1.958333333333333258e+03 3.175000000000000000e+02
1.958416666666666742e+03 3.172599999999999909e+02
1.958500000000000000e+03 3.158600000000000136e+02
1.958583333333333258e+03 3.149300000000000068e+02
1.958666666666666742e+03 3.131999999999999886e+02
1.958750000000000000e+03 3.124399999999999977e+02
1.958833333333333258e+03 3.133299999999999841e+02
1.958916666666666742e+03 3.146700000000000159e+02
1.959000000000000000e+03 3.156200000000000045e+02
1.959083333333333258e+03 3.163799999999999955e+02
1.959166666666666742e+03 3.167099999999999795e+02
1.959250000000000000e+03 3.177200000000000273e+02
1.959333333333333258e+03 3.182900000000000205e+02
1.959416666666666742e+03 3.181600000000000250e+02
1.959500000000000000e+03 3.165400000000000205e+02
1.959583333333333258e+03 3.148000000000000114e+02
1.959666666666666742e+03 3.138399999999999750e+02
1.959750000000000000e+03 3.132599999999999909e+02
1.959833333333333258e+03 3.148000000000000114e+02
1.959916666666666742e+03 3.155799999999999841e+02
1.960000000000000000e+03 3.164300000000000068e+02
1.960083333333333258e+03 3.169700000000000273e+02
1.960166666666666742e+03 3.175799999999999841e+02
1.960250000000000000e+03 3.190199999999999818e+02
1.960333333333333258e+03 3.200299999999999727e+02
1.960416666666666742e+03 3.195899999999999750e+02
1.960500000000000000e+03 3.181800000000000068e+02
1.960583333333333258e+03 3.159100000000000250e+02
1.960666666666666742e+03 3.141600000000000250e+02
1.960750000000000000e+03 3.138399999999999750e+02
1.960833333333333258e+03 3.150000000000000000e+02
1.960916666666666742e+03 3.161899999999999977e+02
1.961000000000000000e+03 3.169300000000000068e+02
1.961083333333333258e+03 3.176999999999999886e+02
1.961166666666666742e+03 3.185400000000000205e+02
1.961250000000000000e+03 3.194800000000000182e+02
1.961333333333333258e+03 3.205799999999999841e+02
1.961416666666666742e+03 3.197699999999999818e+02
1.961500000000000000e+03 3.185699999999999932e+02
1.961583333333333258e+03 3.167900000000000205e+02
1.961666666666666742e+03 3.148000000000000114e+02
1.961750000000000000e+03 3.153799999999999955e+02
1.961833333333333258e+03 3.161000000000000227e+02
1.961916666666666742e+03 3.170099999999999909e+02
1.962000000000000000e+03 3.179399999999999977e+02
1.962083333333333258e+03 3.185600000000000023e+02
1.962166666666666742e+03 3.196800000000000068e+02
1.962250000000000000e+03 3.206299999999999955e+02
1.962333333333333258e+03 3.210099999999999909e+02
1.962416666666666742e+03 3.205500000000000114e+02
1.962500000000000000e+03 3.195799999999999841e+02
1.962583333333333258e+03 3.173999999999999773e+02
1.962666666666666742e+03 3.162500000000000000e+02
1.962750000000000000e+03 3.154200000000000159e+02
1.962833333333333258e+03 3.166899999999999977e+02
1.962916666666666742e+03 3.176999999999999886e+02
1.963000000000000000e+03 3.187400000000000091e+02
1.963083333333333258e+03 3.190799999999999841e+02
1.963166666666666742e+03 3.198600000000000136e+02
1.963250000000000000e+03 3.213899999999999864e+02
1.963333333333333258e+03 3.222400000000000091e+02
1.963416666666666742e+03 3.214700000000000273e+02
1.963500000000000000e+03 3.197400000000000091e+02
1.963583333333333258e+03 3.177699999999999818e+02
1.963666666666666742e+03 3.162099999999999795e+02
1.963750000000000000e+03 3.159900000000000091e+02
1.963833333333333258e+03 3.171200000000000045e+02
1.963916666666666742e+03 3.183100000000000023e+02
1.964000000000000000e+03 3.195699999999999932e+02
1.964333333333333258e+03 3.222400000000000091e+02
1.964416666666666742e+03 3.218899999999999864e+02
1.964500000000000000e+03 3.204399999999999977e+02
1.964583333333333258e+03 3.186999999999999886e+02
1.964666666666666742e+03 3.166999999999999886e+02
1.964750000000000000e+03 3.167900000000000205e+02
1.964833333333333258e+03 3.177900000000000205e+02
1.964916666666666742e+03 3.187099999999999795e+02
1.965000000000000000e+03 3.194399999999999977e+02
1.965083333333333258e+03 3.204399999999999977e+02
1.965166666666666742e+03 3.208899999999999864e+02
1.965250000000000000e+03 3.221299999999999955e+02
1.965333333333333258e+03 3.221600000000000250e+02
1.965416666666666742e+03 3.218700000000000045e+02
1.965500000000000000e+03 3.213899999999999864e+02
1.965583333333333258e+03 3.188000000000000114e+02
1.965666666666666742e+03 3.178100000000000023e+02
1.965750000000000000e+03 3.173000000000000114e+02
1.965833333333333258e+03 3.188700000000000045e+02
1.965916666666666742e+03 3.194200000000000159e+02
1.966000000000000000e+03 3.206200000000000045e+02
1.966083333333333258e+03 3.215899999999999750e+02
1.966166666666666742e+03 3.223899999999999864e+02
1.966250000000000000e+03 3.238700000000000045e+02
1.966333333333333258e+03 3.240099999999999909e+02
1.966416666666666742e+03 3.237500000000000000e+02
1.966500000000000000e+03 3.223899999999999864e+02
1.966583333333333258e+03 3.203700000000000045e+02
1.966666666666666742e+03 3.186399999999999864e+02
1.966750000000000000e+03 3.181000000000000227e+02
1.966833333333333258e+03 3.197900000000000205e+02
1.966916666666666742e+03 3.210799999999999841e+02
1.967000000000000000e+03 3.220600000000000023e+02
1.967083333333333258e+03 3.225000000000000000e+02
1.967166666666666742e+03 3.230400000000000205e+02
1.967250000000000000e+03 3.244200000000000159e+02
1.967333333333333258e+03 3.250000000000000000e+02
1.967416666666666742e+03 3.240899999999999750e+02
1.967500000000000000e+03 3.225500000000000114e+02
1.967583333333333258e+03 3.209200000000000159e+02
1.967666666666666742e+03 3.193100000000000023e+02
1.967750000000000000e+03 3.193100000000000023e+02
1.967833333333333258e+03 3.207200000000000273e+02
1.967916666666666742e+03 3.219599999999999795e+02
1.968000000000000000e+03 3.225699999999999932e+02
1.968083333333333258e+03 3.231499999999999773e+02
1.968166666666666742e+03 3.238899999999999864e+02
1.968250000000000000e+03 3.250199999999999818e+02
1.968333333333333258e+03 3.255699999999999932e+02
1.968416666666666742e+03 3.253600000000000136e+02
1.968500000000000000e+03 3.241399999999999864e+02
1.968583333333333258e+03 3.220299999999999727e+02
1.968666666666666742e+03 3.204100000000000250e+02
1.968750000000000000e+03 3.202500000000000000e+02
1.968833333333333258e+03 3.213100000000000023e+02
1.968916666666666742e+03 3.228399999999999750e+02
1.969000000000000000e+03 3.240000000000000000e+02
1.969083333333333258e+03 3.244200000000000159e+02
1.969166666666666742e+03 3.256399999999999864e+02
1.969250000000000000e+03 3.266600000000000250e+02
1.969333333333333258e+03 3.273399999999999750e+02
1.969416666666666742e+03 3.267599999999999909e+02
1.969500000000000000e+03 3.258799999999999955e+02
1.969583333333333258e+03 3.236700000000000159e+02
1.969666666666666742e+03 3.223799999999999955e+02
1.969750000000000000e+03 3.217799999999999727e+02
1.969833333333333258e+03 3.228500000000000227e+02
1.969916666666666742e+03 3.241200000000000045e+02
1.970000000000000000e+03 3.250299999999999727e+02
1.970083333333333258e+03 3.259900000000000091e+02
1.970166666666666742e+03 3.268700000000000045e+02
1.970250000000000000e+03 3.281399999999999864e+02
1.970333333333333258e+03 3.280699999999999932e+02
1.970416666666666742e+03 3.276600000000000250e+02
1.970500000000000000e+03 3.263500000000000227e+02
1.970583333333333258e+03 3.246899999999999977e+02
1.970666666666666742e+03 3.231000000000000227e+02
1.970750000000000000e+03 3.231600000000000250e+02
1.970833333333333258e+03 3.239800000000000182e+02
1.970916666666666742e+03 3.251299999999999955e+02
1.971000000000000000e+03 3.261700000000000159e+02
1.971083333333333258e+03 3.266800000000000068e+02
1.971166666666666742e+03 3.271800000000000068e+02
1.971250000000000000e+03 3.277799999999999727e+02
1.971333333333333258e+03 3.289200000000000159e+02
1.971416666666666742e+03 3.285699999999999932e+02
1.971500000000000000e+03 3.273399999999999750e+02
1.971583333333333258e+03 3.254599999999999795e+02
1.971666666666666742e+03 3.233600000000000136e+02
1.971750000000000000e+03 3.235699999999999932e+02
1.971833333333333258e+03 3.248000000000000114e+02
1.971916666666666742e+03 3.260099999999999909e+02
1.972000000000000000e+03 3.267699999999999818e+02
1.972083333333333258e+03 3.276299999999999955e+02
1.972166666666666742e+03 3.277500000000000000e+02
1.972250000000000000e+03 3.297200000000000273e+02
1.972333333333333258e+03 3.300699999999999932e+02
1.972416666666666742e+03 3.290899999999999750e+02
1.972500000000000000e+03 3.280500000000000114e+02
1.972583333333333258e+03 3.263199999999999932e+02
1.972666666666666742e+03 3.249300000000000068e+02
1.972750000000000000e+03 3.250600000000000023e+02
1.972833333333333258e+03 3.265000000000000000e+02
1.972916666666666742e+03 3.275500000000000114e+02
1.973000000000000000e+03 3.285500000000000114e+02
1.973083333333333258e+03 3.295600000000000023e+02
1.973166666666666742e+03 3.303000000000000114e+02
1.973250000000000000e+03 3.315000000000000000e+02
1.973333333333333258e+03 3.324800000000000182e+02
1.973416666666666742e+03 3.320699999999999932e+02
1.973500000000000000e+03 3.308700000000000045e+02
1.973583333333333258e+03 3.293100000000000023e+02
1.973666666666666742e+03 3.275099999999999909e+02
1.973750000000000000e+03 3.271800000000000068e+02
1.973833333333333258e+03 3.281600000000000250e+02
1.973916666666666742e+03 3.286399999999999864e+02
1.974000000000000000e+03 3.293500000000000227e+02
1.974083333333333258e+03 3.307099999999999795e+02
1.974166666666666742e+03 3.314800000000000182e+02
1.974250000000000000e+03 3.326499999999999773e+02
1.974333333333333258e+03 3.330899999999999750e+02
1.974416666666666742e+03 3.322500000000000000e+02
1.974500000000000000e+03 3.311800000000000068e+02
1.974583333333333258e+03 3.293999999999999773e+02
1.974666666666666742e+03 3.274300000000000068e+02
1.974750000000000000e+03 3.273700000000000045e+02
1.974833333333333258e+03 3.284599999999999795e+02
1.974916666666666742e+03 3.295699999999999932e+02
1.975000000000000000e+03 3.303999999999999773e+02
1.975083333333333258e+03 3.314100000000000250e+02
1.975166666666666742e+03 3.320400000000000205e+02
1.975250000000000000e+03 3.333100000000000023e+02
1.975333333333333258e+03 3.339599999999999795e+02
1.975416666666666742e+03 3.336000000000000227e+02
1.975500000000000000e+03 3.319100000000000250e+02
1.975583333333333258e+03 3.300600000000000023e+02
1.975666666666666742e+03 3.285600000000000023e+02
1.975750000000000000e+03 3.283399999999999750e+02
1.975833333333333258e+03 3.294900000000000091e+02
1.975916666666666742e+03 3.307599999999999909e+02
1.976000000000000000e+03 3.317500000000000000e+02
1.976083333333333258e+03 3.325600000000000023e+02
1.976166666666666742e+03 3.335000000000000000e+02
1.976250000000000000e+03 3.345799999999999841e+02
1.976333333333333258e+03 3.348700000000000045e+02
1.976416666666666742e+03 3.343399999999999750e+02
1.976500000000000000e+03 3.330500000000000114e+02
1.976583333333333258e+03 3.309399999999999977e+02
1.976666666666666742e+03 3.293000000000000114e+02
1.976750000000000000e+03 3.289399999999999977e+02
1.976833333333333258e+03 3.303100000000000023e+02
1.976916666666666742e+03 3.316800000000000068e+02
1.977000000000000000e+03 3.329300000000000068e+02
1.977083333333333258e+03 3.334200000000000159e+02
1.977166666666666742e+03 3.346999999999999886e+02
1.977250000000000000e+03 3.360699999999999932e+02
1.977333333333333258e+03 3.367400000000000091e+02
1.977416666666666742e+03 3.362699999999999818e+02
1.977500000000000000e+03 3.349300000000000068e+02
